Название выборки,Оцениваемый параметр,Истинное значение,Нижняя граница Bootstrap,Верхняя граница Bootstrap,Нижняя граница SciPy,Верхняя граница SciPy
Uniform 100,loc,5,5.239818823771653,5.615289308299393,5.234473256515514,5.239781459533064
Uniform 1000,loc,5,5.007455220418979,5.042664341671594,5.00740002824801,5.007454840925427
Uniform 100,scale,10,9.027438018765626,9.520135400957685,9.543338471206075,10.068457402969763
Uniform 1000,scale,10,9.927475222527859,9.981929192177956,9.984348410949222,10.03772816297743
Bernoulli 100,p,0.7,0.71,0.86,0.7002003116591013,0.858343459380847
Bernoulli 1000,p,0.7,0.677,0.7330249999999999,0.677017384524264,0.7334059909796873
Binomial 100,p,0.6,0.592,0.6245125,0.5020025867910618,0.6905987135675411
Binomial 1000,p,0.6,0.59175,0.60465125,0.5672921888971421,0.6279577664396891
Normal 100,loc,10,9.347187622059131,10.195448324231005,9.35835995481515,10.2070917475606
Normal 1000,loc,10,9.900895265832123,10.15660712525121,9.909353917235501,10.159783414687835
Normal 100,scale,2,1.8535651267801732,2.39362725786265,1.8777995102193934,2.4844831641635072
Normal 1000,scale,2,1.924830606181157,2.1036931847813625,1.9330897309673625,2.110360669364777
